"","Nombre","Equipo","Age","Pos","MP","G","FG2p","FG3p","FTp","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","PER","tamanyo","PROB_PRED","TAM_PRED"
"331","Justin Jackson","Oklahoma City Thunder",25,"SF",544,33,0.51,0.31,0.86,14,57,51,15,2,31,31,236,13.52,"Small",0.7806,"Small"
"332","Justin James","Sacramento Kings",24,"SF",313,36,0.52,0.37,0.58,9,21,22,8,3,15,23,139,13.84,"Small",0.6932,"Small"
"335","Justise Winslow","Memphis Grizzlies",25,"PF",511,26,0.41,0.19,0.57,18,100,50,15,12,37,47,178,8.94,"Big",0.327,"Big"
"336","Jusuf Nurkić","Portland Trail Blazers",26,"C",881,37,0.52,0.4,0.62,86,246,125,38,39,73,103,424,23.35,"Big",0.089,"Big"
"338","KZ Okpala","Miami Heat",21,"PF",443,37,0.52,0.24,0.53,21,47,19,10,11,15,59,92,6.59,"Big",0.3187,"Big"
"340","Karl-Anthony Towns","Minnesota Timberwolves",25,"C",1688,50,0.54,0.39,0.86,133,396,225,39,57,160,186,1239,28.54,"Big",0.0115,"Big"
"341","Kawhi Leonard","Los Angeles Clippers",29,"SF",1771,52,0.56,0.4,0.88,55,282,269,81,21,105,82,1292,29.99,"Small",0.9668,"Small"
"342","Keita Bates-Diop","San Antonio Spurs",25,"SF",245,30,0.5,0.29,0.67,9,40,12,11,5,7,11,79,14.21,"Small",0.5766,"Small"
"343","Kelan Martin","Indiana Pacers",25,"SF",324,35,0.49,0.4,0.9,18,60,17,10,10,16,35,157,17.4,"Small",0.621,"Small"
"344","Keldon Johnson","San Antonio Spurs",21,"SF",1971,69,0.53,0.33,0.74,93,319,121,40,24,78,142,881,16.5,"Small",0.061,"Big"
"346","Kelly Olynyk","Houston Rockets",29,"C",838,27,0.64,0.39,0.84,43,185,112,39,16,71,84,513,26.87,"Big",0.7169,"Small"
"347","Kelly Olynyk","Miami Heat",29,"C",1159,43,0.64,0.32,0.78,44,217,91,40,26,55,123,432,14.63,"Big",0.3281,"Big"
"348","Kelly Oubre Jr.","Golden State Warriors",25,"SF",1688,55,0.52,0.32,0.69,82,247,73,57,42,70,121,849,17.17,"Small",0.2232,"Big"
"349","Kemba Walker","Boston Celtics",30,"PG",1368,43,0.49,0.36,0.9,16,154,212,48,12,88,61,829,21.27,"Small",0.9714,"Small"
"350","Kendrick Nunn","Miami Heat",25,"PG",1651,56,0.58,0.38,0.93,21,158,148,52,14,80,108,816,17.23,"Small",0.9668,"Small"
"351","Kenrich Williams","Oklahoma City Thunder",26,"PF",1428,66,0.57,0.44,0.57,84,189,152,55,17,76,143,526,16.49,"Big",0.764,"Small"
"352","Kent Bazemore","Golden State Warriors",31,"SF",1334,67,0.49,0.41,0.69,26,203,108,69,33,82,158,481,13.65,"Small",0.9461,"Small"
"353","Kentavious Caldwell-Pope","Los Angeles Lakers",27,"SG",1900,67,0.46,0.41,0.87,27,152,127,62,26,66,114,653,12.86,"Small",0.9682,"Small"
"354","Kenyon Martin Jr.","Houston Rockets",20,"SF",1066,45,0.57,0.36,0.71,73,169,48,30,41,38,89,419,17.45,"Small",0.0782,"Big"
"355","Kevin Durant","Brooklyn Nets",32,"PF",1157,35,0.58,0.45,0.88,13,234,195,25,45,120,70,943,31.75,"Big",0.4411,"Big"
"356","Kevin Huerter","Atlanta Hawks",22,"SG",2126,69,0.51,0.36,0.78,38,193,241,82,18,79,165,822,14.54,"Small",0.9894,"Small"
"357","Kevin Knox","New York Knicks",21,"SF",464,42,0.39,0.39,0.8,10,51,19,12,6,17,37,163,10.8,"Small",0.7524,"Small"
"358","Kevin Love","Cleveland Cavaliers",32,"PF",624,25,0.48,0.37,0.82,17,169,63,16,2,38,26,305,18.48,"Big",0.5005,"Small"
"359","Kevin Porter Jr.","Houston Rockets",25,"PF",838,26,0.51,0.31,0.73,20,79,164,19,8,91,61,431,16.07,"Big",0.869,"Small"
"360","Kevon Looney","Golden State Warriors",24,"C",1163,61,0.58,0.24,0.65,117,205,119,21,22,37,136,251,14.19,"Big",0.0122,"Big"
"361","Khem Birch","Orlando Magic",28,"C",954,48,0.48,0.19,0.74,117,126,53,32,28,23,67,255,15.72,"Big",0.0489,"Big"
"362","Khem Birch","Toronto Raptors",28,"C",577,19,0.61,0.29,0.64,57,87,36,16,22,21,46,227,19.42,"Big",0.1363,"Big"
"363","Khris Middleton","Milwaukee Bucks",29,"SF",2266,68,0.51,0.41,0.9,54,352,370,74,9,178,160,1385,22.61,"Small",0.982,"Small"
"365","Killian Hayes","Detroit Pistons",19,"PG",670,26,0.4,0.28,0.82,6,63,138,27,10,83,57,176,7.43,"Small",0.95,"Small"
"367","Kira Lewis Jr.","New Orleans Pelicans",19,"PG",907,54,0.41,0.33,0.84,12,59,124,38,10,34,88,343,12.92,"Small",0.9555,"Small"
"370","Kristaps Porziņģis","Dallas Mavericks",25,"C",1325,43,0.54,0.38,0.86,82,299,68,20,58,51,115,865,24.63,"Big",0.0035,"Big"
"371","Kyle Anderson","Memphis Grizzlies",27,"PF",1891,69,0.54,0.36,0.78,52,344,250,84,57,86,120,854,20.83,"Big",0.5723,"Small"
"372","Kyle Guy","Sacramento Kings",23,"PG",235,31,0.38,0.28,0.8,5,30,32,6,0,11,20,87,11.3,"Small",0.6852,"Small"
"373","Kyle Kuzma","Los Angeles Lakers",25,"SF",1953,68,0.53,0.36,0.69,108,309,127,35,41,113,121,874,15.55,"Small",0.0301,"Big"
"374","Kyle Lowry","Toronto Raptors",34,"PG",1604,46,0.49,0.4,0.88,35,212,338,45,14,126,143,791,19.98,"Small",0.9475,"Small"
"375","Kyrie Irving","Brooklyn Nets",28,"PG",1887,54,0.56,0.4,0.92,52,205,324,76,37,130,140,1451,29.4,"Small",0.9818,"Small"
"377","LaMarcus Aldridge","San Antonio Spurs",35,"C",542,21,0.51,0.36,0.84,17,77,36,8,18,20,36,288,18.24,"Big",0.381,"Big"
